season,episode_title,episode_url,burger_of_the_day,burger_name,burger_description,tvmaze_episode_id,tvmaze_episode_name,tvmaze_episode_number,tvmaze_episode_url,tvmaze_match_type,tvmaze_match_score
1,Human Flesh,https://bobs-burgers.fandom.com/wiki/Human_Flesh,"""NEW BACON-INGS"" (Comes with Bacon)","""NEW BACON-INGS""",Comes with Bacon,7415,Human Flesh,1,https://www.tvmaze.com/episodes/7415/bobs-burgers-1x01-human-flesh,exact,1.0
1,Human Flesh,https://bobs-burgers.fandom.com/wiki/Human_Flesh,THE CHILD MOLESTER (Comes with Candy!),THE CHILD MOLESTER,Comes with Candy!,7415,Human Flesh,1,https://www.tvmaze.com/episodes/7415/bobs-burgers-1x01-human-flesh,exact,1.0
1,Crawl Space,https://bobs-burgers.fandom.com/wiki/Crawl_Space,FOOT FETA-ISH BURGER,FOOT FETA-ISH BURGER,,7416,Crawl Space,2,https://www.tvmaze.com/episodes/7416/bobs-burgers-1x02-crawl-space,exact,1.0
1,Crawl Space,https://bobs-burgers.fandom.com/wiki/Crawl_Space,TUNAMI,TUNAMI,,7416,Crawl Space,2,https://www.tvmaze.com/episodes/7416/bobs-burgers-1x02-crawl-space,exact,1.0
1,Sacred Cow,https://bobs-burgers.fandom.com/wiki/Sacred_Cow,Mission A-Corn-Plished Burger (Comes with Corn Salsa),Mission A-Corn-Plished Burger,Comes with Corn Salsa,7417,Sacred Cow,3,https://www.tvmaze.com/episodes/7417/bobs-burgers-1x03-sacred-cow,exact,1.0
1,Sacred Cow,https://bobs-burgers.fandom.com/wiki/Sacred_Cow,Pepper Don't Preach Burger (Comes with Roasted Peppers),Pepper Don't Preach Burger,Comes with Roasted Peppers,7417,Sacred Cow,3,https://www.tvmaze.com/episodes/7417/bobs-burgers-1x03-sacred-cow,exact,1.0
1,Sacred Cow,https://bobs-burgers.fandom.com/wiki/Sacred_Cow,REST IN PEAS BURGER,REST IN PEAS BURGER,,7417,Sacred Cow,3,https://www.tvmaze.com/episodes/7417/bobs-burgers-1x03-sacred-cow,exact,1.0
1,Sexy Dance Fighting,https://bobs-burgers.fandom.com/wiki/Sexy_Dance_Fighting,Fig-eta Bout It Burger,Fig-eta Bout It Burger,,7418,Sexy Dance Fighting,4,https://www.tvmaze.com/episodes/7418/bobs-burgers-1x04-sexy-dance-fighting,exact,1.0
1,Sexy Dance Fighting,https://bobs-burgers.fandom.com/wiki/Sexy_Dance_Fighting,Chevre Which Way But Loose Burger,Chevre Which Way But Loose Burger,,7418,Sexy Dance Fighting,4,https://www.tvmaze.com/episodes/7418/bobs-burgers-1x04-sexy-dance-fighting,exact,1.0
1,Sexy Dance Fighting,https://bobs-burgers.fandom.com/wiki/Sexy_Dance_Fighting,The Roquefort Files Burger,The Roquefort Files Burger,,7418,Sexy Dance Fighting,4,https://www.tvmaze.com/episodes/7418/bobs-burgers-1x04-sexy-dance-fighting,exact,1.0
